requirement,functional_yes_no
software shall be eco-friendly.,No
"It shall be usable by professionals, the unemployed, and students.",No
System shall find diverse applications.,No
This software shall be a great means for the ecosystem.,No
Developing this product native-first enables cross-platform functionality.,No
"Tasks shall be CRUDable (Create, Read, Update, Delete) across Windows PC, mobile apps (future implementation), and car systems (future implementation), with primary focus on the Windows PC experience.",No
The software shall offer an essential non-functional requirement highlighting its operation.,No
The software will only be operational when a user is registered.,No
Guest accounts shall not be allowed.,No
There shall be a feature to locate affiliated cinemas based on user's location for a chosen day.,Yes
"Shall a city be selected, all theatres and movies showing on that day shall be listed.",Yes
"If a movie is selected, there shall be a list of all theatres in that city where it is playing, along with show times.",Yes
Users shall be able to book a movie through the service.,Yes
"The service shall be able to show the seating arrangement and available seats, allowing users to book the desired number of seats.",Yes
Users shall be able to put a hold on selected seats for five minutes before finalizing and making payment.,Yes
There shall be an option for users to wait if they would like to see if tickets for a particular show might become available.,Yes
Waiting customers shall be serviced in a fair First-Come-First-Served (FCFS) manner.,Yes
The system shall use SSL in all transactions that include any confidential customer information.,No
The system shall automatically log out all customers after a period of inactivity.,No
The system shall not leave any cookies on the customers computer containing the users password.,No
The systems back-end servers shall only be accessible to authenticated administrators.,No
Sensitive data will be encrypted before being sent over insecure connections like the internet.,No
The system shall store all databases on redundant computers with automatic switchover.,No
The overall program shall be as reliable as its least reliable component.,No
The system's reliability shall be primarily dependent on a continuously maintained and updated database backup that reflects the latest changes.,No
"For the system to be stable, the container and its underlying operating system shall be stable.",No
"The system shall be designed for high availability and accessible via a web browser, with the only access interruptions occurring during scheduled server downtime.",No
"In the event of hardware failure or database corruption, a replacement page shall be displayed.",No
"Upon hardware failure or database corruption, administrator shall retrieve and save backups, followed by service restart for 24/7 availability.",No
A commercial database shall manage the data while the application server handles the website.,No
"In case of a failure, a re-initialization of program will be done.",No
The software shall be designed modularly to ensure efficient maintainability.,No
"The system shall run on PC, Laptops, and PDA etc.",No
"The system shall define what data can be entered, how it should be formatted, and any rules for validating the data.",Yes
"The system shall document the functionality of each screen, how users interact with it, and how the system responds.",Yes
The system shall outline the step-by-step process for completing tasks within the system.,Yes
"The system shall specify the content, format, and criteria for generating reports and other data outputs.",Yes
The system shall document who can enter data by defining user roles and permissions.,Yes
The system shall be designed and implemented to meet relevant regulations and document how it complies.,Yes
The system shall restrict the field to accept only numeric data entry.,Yes
The system shall restrict the entry of dates in a specific field to only those prior to the current date.,Yes
The system shall provide a mechanism for users to print the displayed data on a selected printer.,Yes
The system shall require data entry to be completed before a request can be approved.,Yes
The system shall move the request to the Approval Workflow upon clicking the Approve Button.,Yes
All personnel using the system will be trained according to internal SOP AA-101.,Yes
The database will have a functional audit trail.,Yes
The system will limit access to authorized users.,Yes
The system shall enable securing data within spreadsheets using electronic signatures.,Yes
The system shall allow Data Entry group members to create requests but restrict approval and deletion permissions.,Yes
The system shall allow the Managers group to enter/approve requests but deny deletion privileges.,Yes
The system shall allow Administrators to delete requests but not enter or approve them.,Yes
The system shall give the mediator privileges to schedule location and equipment resources.,Yes
The system shall allow the mediator to negotiate a meeting date.,Yes
The system shall allow the mediator to solve a date conflict.,Yes
The system shall allow the mediator to negotiate a location / equipment.,Yes
The system shall allow the mediator to solve a location conflict.,Yes
The system shall allow the mediator to send and receive messages from users.,Yes
The system shall allow the initiator to view the information of any meetings which they initiated.,Yes
The system shall allow the initiator to cancel any meetings which they initiated.,Yes
The system shall allow the initiator to send and receive messages from users.,Yes
The system shall authenticate users at the beginning each session.,Yes
The system shall allow the user to view their schedule.,Yes
The system shall notify the user of any schedule changes.,Yes
The system shall allow users to send and receive messages.,Yes
The system shall request a user response to initiator or mediator messages.,Yes
The system shall allow the user to modify the date preference set of an already submitted meeting response.,Yes
The system shall allow the user to modify the location preference set of an already submitted meeting response.,Yes
The system shall allow the user to modify the equipment requirement set of an already submitted meeting response.,Yes
The system shall allow the user to modify the date exclusion set of an already submitted meeting response.,Yes
The system shall allow the user to change the password.,Yes
The system shall allow the user to view past attended meetings.,Yes
The system shall allow the user to view pending meetings.,Yes
The system shall show the meetings to the user in ascending time order by default.,Yes
The system shall allow users to view equipment information.,Yes
The system shall allow the user to change the password.,Yes
The system shall allow the user to change following personal contact information:,Yes
The system shall allow the user to customize the following interface settings.,Yes
The system shall allow the user to view past attended meetings.,Yes
The system shall allow the user to view pending meetings.,Yes
1.1.1.1 The system shall allow user to specify custom meeting locations.,Yes
The system shall allow users to view location information.,Yes
The system shall allow users to search for available distributed location templates(if any).,Yes
The system shall allow the user to specify an ascending or descending sorting order when viewing meetings.,Yes
The system shall notify all involved participants if any the following information about the meeting is modified.,Yes
The system shall allow users to act on behalf of another user.,Yes
The system shall allow users to view information concerning the available distributed location templates(if any).,Yes
Users shall be required to log into the system for all operations except the operations on the login page.,Yes
The system shall restrict the user's operation within its user role.,Yes
The system shall run on Windows Server 2003.,Yes
The system shall be compatible with IIS6.0 and above or Apache 2.0 and above.,Yes
"The system shall conform to HTML standards and therefore support different web browsers including, but not limited to Internet Explorer, Firefox, Opera and Safari.",Yes
"The system shall define data for monitoring digital wellbeing metrics (e.g., app usage, sleep patterns).",Yes
"The system shall provide screens to view tracked metrics, set goals, and configure monitoring settings.",Yes
"The system shall allow users to track app usage, monitor sleep patterns, and manage screen time limits.",Yes
The system shall prompt users to take breaks based on predefined settings or usage patterns.,Yes
The system shall generate reports and visualizations to track progress towards digital wellbeing goals.,Yes
"The system shall implement user authentication and access controls based on user roles (e.g., standard user, administrator).",Yes
The system shall respond to user interactions with minimal latency.,No
The system shall be highly available and minimize downtime.,No
The system shall be scalable to accommodate a growing user base.,No
"The system shall protect user data with robust security measures (e.g., encryption).",No
The system shall provide an intuitive and user-friendly interface.,No
The system shall collect and store user data in accordance with privacy regulations and user consent.,No
The system (PowerPoint) shall allow users to create and edit text content for slides.,Yes
"The system shall allow users to import and manage various data formats like images, videos, and audio files within presentations.",Yes
The system shall allow users to define layouts and themes for presentations.,Yes
The system shall allow users to create new presentations or open existing ones.,Yes
"The system shall allow users to insert, edit, and delete slides within a presentation.",Yes
"The system shall provide various formatting options for text, images, and other content elements on slides.",Yes
The system shall allow users to define transitions and animations for slides within a presentation.,Yes
The system shall allow users to insert speaker notes for slides.,Yes
"The system shall allow users to create a presentation by adding slides, defining content, and applying formatting.",Yes
The system shall allow users to collaborate on presentations by sharing and editing them with others.,Yes
"The system shall allow users to deliver presentations in various modes, including full-screen mode and slide sorter view.",Yes
"The system shall allow users to export presentations in various file formats like PPTX, PPT, PDF, and video formats.",Yes
The system shall allow users to print presentations with customizable layouts and settings.,Yes
The system shall be intuitive and easy to learn for users with varying levels of experience.,No
The system shall operate smoothly and respond to user actions with minimal delay.,No
The system shall protect presentations from unauthorized access and modification.,No
The system shall be compatible with various operating systems and file formats.,No
The system shall be available for use with minimal downtime.,No
"The system (Microsoft Excel) shall allow users to enter various data types including numbers, text, dates, and formulas.",Yes
"The system shall define data formats for cells (e.g., currency, percentages, dates) and enforce those formats.",Yes
"The system shall offer validation rules to ensure data entered meets specific criteria (e.g., positive numbers only).",Yes
The system shall allow users to enter data into cells arranged in a grid (rows and columns).,Yes
"The system shall allow users to perform basic mathematical operations (+, -, *, /) on data in cells.",Yes
"The system shall offer a wide range of functions for calculations, data analysis, and manipulation (e.g., SUM, AVERAGE, VLOOKUP).",Yes
The system shall allow users to create charts and graphs to visualize data.,Yes
"The system shall allow users to format cells and worksheets for presentation purposes (e.g., fonts, borders, colors).",Yes
The system shall allow users to create new spreadsheets or open existing ones.,Yes
"The system shall allow users to save spreadsheets in various file formats (e.g., XLSX, XLS).",Yes
The system shall allow users to collaborate on spreadsheets with others (may require additional configurations).,Yes
The system shall allow users to print spreadsheets or specific ranges of data.,Yes
"The system shall allow users to export data to other formats (e.g., CSV, PDF).",Yes
The system shall allow for password protection of spreadsheets to restrict access.,Yes
The system shall operate efficiently and respond to user actions within a reasonable timeframe.,No
The system shall be able to handle large and complex spreadsheets without significant performance degradation.,No
The system shall save user data frequently and offer options for automatic backups to minimize data loss.,No
"The system shall recover gracefully from crashes or errors, minimizing data corruption.",No
"The system shall have a user-friendly interface with clear menus, buttons, and icons.",No
The system shall offer comprehensive online help and documentation for users of all skill levels.,No
The system shall protect user data from unauthorized access or modification.,No
The system shall offer options for data encryption to further enhance security.,No
The system shall be compatible with various operating systems and hardware configurations.,No
The system shall be able to open and work with spreadsheets created in previous versions of Excel (with potential limitations).,No
"The system (MS Forms) shall define the data types allowed for each question (e.g., text, number, date).",Yes
"The system shall allow for setting validation rules on data entry (e.g., required fields, format restrictions).",Yes
"The system shall allow users to create new forms with various question types (e.g., multiple choice, Likert scale).",Yes
The system shall allow users to edit and modify existing forms.,Yes
The system shall allow users to preview forms before publishing.,Yes
The system shall allow users to publish forms and share them with specific audiences.,Yes
The system shall allow users to collect responses and view submitted data.,Yes
The system shall allow users to analyze responses through charts and graphs.,Yes
The system shall guide users through the process of creating and publishing a form.,Yes
The system shall provide a clear workflow for collecting and analyzing responses.,Yes
"The system shall allow users to export collected data in various formats (e.g., Excel, CSV).",Yes
The system shall provide basic data visualizations like charts and graphs for response analysis.,Yes
"The system shall allow defining user roles and permissions for form access (e.g., create, edit, view).",Yes
"The system shall comply with relevant data privacy regulations based on usage (e.g., GDPR, HIPAA).",Yes
The system shall respond to user actions within a reasonable timeframe.,No
The system shall be able to handle a high volume of form submissions without performance degradation.,No
The system shall be highly available and accessible to users most of the time.,No
The system shall be able to scale to accommodate an increasing number of users and forms.,No
The system shall implement security measures to protect user data from unauthorized access.,No
The system shall employ encryption for sensitive data transmission and storage.,No
The system shall be user-friendly and intuitive for users of all technical abilities.,No
The system shall be capable of supporting multiple languages for user interface and data presentation.,No
"The system shall allow adding, editing, and deleting medicine information (name, composition, dosage, etc.).",Yes
The system shall maintain an inventory of medicines with stock levels and track expiration dates.,Yes
The system shall allow processing of prescriptions received electronically or manually.,Yes
The system shall validate prescriptions against doctor's licenses and patient profiles.,Yes
The system shall perform drug interaction checks to ensure patient safety.,Yes
The system shall allow processing of medicine orders by patients.,Yes
The system shall integrate with inventory to check stock availability and prevent overselling.,Yes
"The system shall offer various order fulfillment options (in-store pickup, delivery).",Yes
The system shall allow creating and managing patient profiles with medical history and allergies.,Yes
The system shall ensure patient data privacy and comply with HIPAA regulations (if applicable).,Yes
"The system shall generate reports on sales, inventory, prescriptions dispensed, etc.",Yes
The system shall allow filtering and exporting reports for further analysis.,Yes
"The system shall respond to user actions within an acceptable time frame (e.g., 2 seconds).",No
The system shall handle high volumes of concurrent users without performance degradation.,No
The system shall implement strong authentication and authorization mechanisms.,No
"The system shall encrypt sensitive data (patient information, prescriptions) at rest and in transit.",No
The system shall maintain audit logs to track user activity and data changes.,No
The system shall be highly available with minimal downtime for maintenance.,No
The system shall have a disaster recovery plan to ensure data integrity and system functionality in case of outages.,No
"The system shall be scalable to accommodate future growth in the number of users, medicines, and transactions.",No
The system shall have a user-friendly interface that is easy to learn and navigate for both staff and patients (if applicable).,No
The system shall provide clear instructions and error messages to guide users.,No
The system shall accept user input for origin and destination stations.,Yes
The system shall search for train schedules based on the provided origin and destination.,Yes
The system shall display a list of matching train schedules to the user.,Yes
"The system shall allow users to select a specific train schedule for further details (e.g., departure time, platform number).",Yes
The system may optionally provide real-time train location information if available.,Yes
"The system shall respond to user queries within a reasonable timeframe (e.g., 2 seconds).",No
The system shall be available to users 24/7 with minimal downtime.,No
The system interface shall be user-friendly and easy to navigate for users with varying technical skills.,No
The system shall be secure and protect user privacy by following data security best practices.,No
The system shall display information clearly and accurately.,No
"The system shall store car information including make, model, year, and color.",Yes
"The system shall allow users to search for cars by make, model, or year.",Yes
The system shall allow authorized users to add new car information.,Yes
The system shall allow authorized users to edit existing car information.,Yes
The system shall allow authorized users to delete car information.,Yes
The system shall display car information in a user-friendly format.,Yes
The system shall have a response time of less than 5 seconds for basic operations.,No
The system shall be available 99.5% of the time.,No
The system shall be secure and protect user data with appropriate access controls.,No
The system user interface shall be user-friendly and easy to navigate.,No
The system shall generate reports on car information upon request.,No
The system shall create a complete copy of data from the source phone to the target phone.,Yes
"The system shall allow users to select specific data to clone (e.g., contacts, messages, call history).",Yes
The system shall securely transfer data between the source and target phones.,Yes
The system shall provide progress indicators during the cloning process.,Yes
The system shall offer the option to erase data on the source phone after cloning (optional).,Yes
"The system shall be compatible with a variety of phone models (e.g., specify Android and/or iOS).",No
The system shall complete the cloning process within a reasonable timeframe (define reasonable timeframe).,No
The system shall be user-friendly and easy to navigate.,No
The system shall be secure and protect user data throughout the cloning process.,No
"The system shall define data formats (e.g., ePUB, PDF) for uploading and displaying ebooks.",Yes
"The system shall allow users to search for ebooks by title, author, genre, etc. and browse curated collections.",Yes
"The system shall provide features for adjusting font size, background color, and text-to-speech functionality.",Yes
"The system shall allow users to highlight text, add notes, and create bookmarks.",Yes
"The system shall enable users to organize ebooks into collections, download for offline reading, and track reading progress.",Yes
The system shall facilitate secure purchase of ebooks and manage downloads with progress indicators.,Yes
The system shall maintain responsiveness during peak usage with minimal loading times for ebook browsing and opening.,No
"The system shall employ encryption for user data and financial transactions, following industry security standards.",No
"The system shall be highly available with minimal downtime, ensuring access to ebooks for users.",No
The system shall be scalable to accommodate a growing user base and data volume.,No
"The user interface shall be intuitive and accessible, catering to users with varying levels of technical expertise.",No
"The system shall support multiple languages for user interface elements, potentially including multilingual ebooks.",No
"The system shall scan documents and convert them into digital files (e.g., PDF, JPG, PNG) as specified by the user.",Yes
The system shall allow users to select the desired output format for the scanned document.,Yes
"The system shall offer functionalities for enhancing scanned documents (e.g., adjusting brightness, contrast).",Yes
The system shall enable users to save scanned documents in a designated location.,Yes
"The system shall accept documents through various methods (e.g., camera capture, file upload).",Yes
The system shall be user-friendly and easy to navigate for users with varying technical skills.,No
The system shall have a fast scanning and conversion speed to minimize user wait time.,No
The system shall produce high-quality scanned documents with clear and legible text.,No
The system shall be secure and protect scanned documents from unauthorized access using encryption and access controls.,No
The system shall be scalable to accommodate increasing document volumes without performance degradation.,No
The system shall be reliable and function consistently with minimal downtime.,No
"The system shall allow users to add expenses with details including amount, date, payer, and optional split among participants.",Yes
"The system shall allow users to specify how an expense is split among participants (e.g., equally, proportionally, custom).",Yes
"The system shall allow users to create, join, and leave groups for shared expense management.",Yes
The system shall automatically calculate and display individual balances (IOUs) among group members based on expenses.,Yes
"The system shall offer functionalities for users to mark debts as settled (e.g., by cash payment) and update balances accordingly.",Yes
"The system shall generate reports summarizing group expenses, individual balances, and settlement history.",Yes
"The system shall respond to user actions promptly and efficiently, even with a large number of users and expenses.",No
The system shall be highly available and accessible to users most of the time with minimal downtime.,No
"The system shall protect user data (financial information, group details) with robust security measures and access controls.",No
The system shall be scalable to accommodate a growing user base and increasing amount of data without performance degradation.,No
The system shall have a user-friendly interface that is intuitive and easy to navigate for users with varying technical skills.,No
The system shall be adaptable to different languages and currencies to cater to a global user base (optional).,No
"User shall be able to create a new account by providing their email address and password, which must meet specific criteria.",Yes
System shall authenticate users using Django's authentication module and session-based authentication.,Yes
"User shall be guided to a login page after successfully registering, where they can enter their credentials to access the application.",Yes
User shall be redirected to the landing page upon successful login.,Yes
User shall have the option to log out by clicking on a logout button in the navigation bar.,Yes
User shall be able to add properties to the website by providing all necessary information about the property.,Yes
System shall validate the information provided by the user using JavaScript on the client side.,Yes
User shall have the option to add photographs of the property using either drag-and-drop functionality or by selecting images from their files.,Yes
System shall utilize the Dropzone JavaScript library for drag-and-drop functionality.,Yes
User shall be able to add the location of the property by clicking on the map to add a marker.,Yes
System shall use Mapbox APIs for geolocation functionality.,Yes
"User shall be able to search for properties based on specific criteria such as location, area, and number of bedrooms.",Yes
System shall utilize Mapbox APIs to display locations of properties on the map.,Yes
User shall have the ability to shortlist or save properties they are interested in for future reference.,Yes
"System shall use AJAX calls for shortlisting properties, employing jQuery on the client side.",Yes
User shall be able to delete properties they have added to the system.,Yes
"System shall use AJAX calls for deleting properties, utilizing jQuery on the client side.",Yes
User shall be able to remove properties from their list of shortlisted properties.,Yes
"System shall use AJAX calls for removing shortlisted properties, employing jQuery on the client side.",Yes
User shall have the option to add advertisements on the website by providing necessary specifications about the property.,Yes
System shall validate the information provided by the user using JavaScript on the client side.,Yes
"User shall be able to access the application without interruption, demonstrating scalability.",No
Backup power supply must be available for the server to ensure continuous operation in case of power failure.,No
API keys utilized by the application shall remain confidential and not be exposed as open source.,No
Regular backups of the code shall be taken at defined intervals to prevent data loss.,No
User passwords shall be hashed before storage in the database to maintain security.,No
"Passwords must meet specific criteria, including a minimum length of 8 characters, at least one uppercase character, one digit, and one special symbol.",No
The website shall utilize HTTPS protocol to enhance security during data transmission.,No
"POST requests shall be used for transferring sensitive information, such as authentication details and property data, through forms.",No
The user interface should prioritize simplicity and avoid cluttering with excessive information to enhance usability.,No
"The system should maintain high availability, ensuring uninterrupted operation at all times.",No
Reliability shall be ensured to prevent data loss in case of server failure during ongoing operations.,No
The codebase shall be well-maintained with clean coding practices and thorough documentation to facilitate ease of maintenance.,No
Comments shall be included in the codebase to aid new programmers and developers in making modifications.,No
The code shall be accompanied by proper test cases to identify and address any errors during production.,No
The administrator of the application shall possess full control over system management and operations.,No
User shall be able to create a profile and set credentials for authentication.,Yes
System shall authenticate user credentials to grant access to the profile.,Yes
User shall be able to update profile information as needed.,Yes
User shall enter search text on the screen to find matching products based on the search.,Yes
User shall have the option to select multiple search criteria.,Yes
User shall navigate between search results to view different products.,Yes
System shall notify the user when no matching product is found during the search.,Yes
System shall provide a shopping bag feature during online purchase.,Yes
User shall add or remove products from the shopping bag as desired.,Yes
User shall confirm orders from the shopping bag to proceed with the purchase.,Yes
System shall display available payment methods for the user to choose from during checkout.,Yes
"User shall select a preferred payment method, such as credit card or cash on delivery.",Yes
"User shall enter card details for online payment, with the system verifying their validity.",Yes
"If paying by cash on delivery, user shall enter address details for order confirmation.",Yes
System shall allow user to track shipments by entering order information.,Yes
"System shall display current tracking information about the order, including location and delivery time estimation.",Yes
System shall notify the seller about the delivery of the product to the customer.,Yes
User shall access the e-store in multiple languages for enhanced accessibility.,No
User shall have access to handicap-friendly features for improved accessibility.,No
User shall interact with the e-store through icons and toolbars for a user-friendly experience.,No
User shall experience a consistent look and feel across all web pages of the e-store.,No
User shall view pictures related to each product in the product details for better understanding.,No
The reliability of the e-store depends on the reliability of its separate components.,No
The database backup shall be continuously maintained and updated for reliability.,No
System shall replicate databases to off-site storage locations for backup.,No
System shall store all databases on redundant computers with automatic switchover for reliability.,No
System shall utilize RAID V Disk Stripping on all database storage disks for reliability.,No
System shall have a contractual agreement with an internet service provider for T3 access with 99.9999% availability.,No
System shall have a contractual agreement with an internet service provider for 99.999% availability through their network facilities.,No
All transactions with the customer's web browser shall be confirmed by the system for secure data transfer.,No
System shall not store any cookies containing the user's password or confidential information on the customer's computer.,No
System shall use secure sockets for all transactions involving confidential customer information.,No
System shall automatically log out customers after a period of inactivity for security.,No
"Customer's password shall not be displayed in plain text in the web browser, only represented by special characters.",No
Customer's credit card number shall only display the last 4 digits after retrieval from the database.,No
"System's back-end servers shall not display the customer's password, only reset it if necessary.",No
System's back-end servers shall only be accessible to authenticated administrators for security.,No
System's back-end databases shall be encrypted to protect customer data.,No
User shall sign up or sign in using their email ID and password.,Yes
System shall create a new database and register the user upon sign up.,Yes
System shall authenticate user credentials from the database upon sign in.,Yes
User shall search for videos by entering keywords.,Yes
System shall display videos related to the entered keywords.,Yes
User shall share videos with friends and family by selecting them from the friend list.,Yes
System shall notify the user upon successful sharing of the video.,Yes
User shall download videos by clicking on the download button.,Yes
System shall display a pop-up confirming the successful download of the video.,Yes
User shall upload videos by clicking on the upload button and selecting the file to upload.,Yes
System shall display a pop-up confirming the successful upload of the file.,Yes
"User shall navigate to different sections: Home, Trending, and Subscription.",Yes
"System shall display options for Home, Trending, and Subscription upon selecting the navigation section.",Yes
"Upon selecting Home, system shall display videos based on user history, subscription, and search.",Yes
"Upon selecting Trending, system shall display location-based most popular videos.",Yes
"Upon selecting Subscription, system shall display videos from channels subscribed by the user.",Yes
"User shall access the Library section containing History, Watch Later, and Liked Videos options.",Yes
System shall display History section showing all the videos watched by the user.,Yes
System shall display Watch Later section showing all the videos added by the user for later viewing.,Yes
System shall display Liked Videos section showing all the videos liked by the user.,Yes
User will need a device capable of playing a 144p resolution video.,No
User will require a minimum internet connection speed of 500kbps to play videos without buffering.,No
"In case of extensive database damage, a backup method will restore a previous copy of the database and switch to backup servers to keep the site operational.",No
"All private data uploaded by users will be strictly confidential to other users, and users will be able to report suspicious activity to the security department.",No
The site will be available to users 24/7.,No
Maintenance and updates of the site will be carried out by developers and a team of software engineers.,No
The site should be usable anywhere with internet connectivity and a compatible device.,No
"User shall be able to create a LeetCode account with their email, username, and password.",Yes
System shall be able to display a confirmation message upon successful registration.,Yes
User shall be able to log in to their LeetCode account using their email and password.,Yes
System shall be able to grant access to the user's dashboard upon successful authentication.,Yes
User shall be able to access coding problems across various difficulty levels and categories.,Yes
System shall be able to display the problem statement and coding environment based on the user's selection of problem category and difficulty level.,Yes
User shall be able to submit their solutions to coding problems.,Yes
"System shall be able to provide submission status (Accepted, Wrong Answer, Time Limit Exceeded, etc.) for user's code solutions.",Yes
"User shall be able to participate in discussions related to coding problems by commenting, asking questions, and providing answers.",Yes
System shall be able to display forum threads and replies.,Yes
User shall be able to view and edit their profile information.,Yes
System shall be able to display the user's profile with options to edit information.,Yes
"User shall be able to interact with the platform to create a LeetCode account, providing their email, username, and password.",No
System shall display a confirmation message upon successful registration of the LeetCode account.,No
User shall be able to log in to their LeetCode account using their email and password credentials.,No
System shall grant access to the user's dashboard upon successful authentication.,No
User shall be able to access coding problems across various difficulty levels and categories.,No
System shall display the problem statement and coding environment based on the user's selection of problem category and difficulty level.,No
User shall be able to submit their solutions to coding problems.,No
"System shall provide submission status (Accepted, Wrong Answer, Time Limit Exceeded, etc.) for the user's code solutions.",No
"User shall be able to participate in discussions related to coding problems by commenting, asking questions, and providing answers.",No
System shall display forum threads and replies for user engagement.,No
User shall be able to view and edit their profile information.,No
System shall display the user's profile with options to edit information.,No
User shall be able to click on an address to open Google Maps in a new tab.,Yes
"User shall be able to anonymously view public information, such as recycling centers near their location, before creating an account.",Yes
User shall be able to enter their zip code to receive a list of nearby recycling facilities.,Yes
User shall be able to view the operating hours of each recycling facility.,Yes
User shall have the option to select flexible pick-up times for recycling services.,Yes
"User shall be able to select different types of recyclable waste and view a list of facilities that accept each type, along with their opening hours.",Yes
User shall be able to add donation centers as favorites on their profile.,Yes
User shall be able to provide their email ID to receive notifications for new events.,Yes
User shall be able to view a map display of public recycling bins and special waste drop-off sites in their area.,Yes
User shall be able to view ongoing safe disposal events in their area.,Yes
User shall receive feedback when entering an invalid zip code.,Yes
User shall be able to create an account to access additional features and create their own profile.,Yes
Admin shall be able to add or remove recycling facility information to ensure users have access to the most recent information.,Yes
Admin shall be able to read users' feedback and complaints to improve the service provided.,Yes
User shall be able to check transaction history and keep records.,Yes
User shall experience a great UI and UX for a pleasant navigation experience.,Yes
User shall be able to access the site on all electronic devices.,Yes
Developer shall access an API from the website for integration into other applications.,Yes
User shall receive tempting rewards for using the website.,Yes
User shall link their email account to their profile for password recovery.,Yes
User shall be able to contact administrators for feedback or assistance.,Yes
Admin shall be able to add recycling center information to keep the database up-to-date.,Yes
Admin shall view user error logs to address issues faced by users.,Yes
Admin shall onboard recycling centers on the platform to increase information accuracy.,Yes
Superuser shall update recycling center information to provide the latest details.,Yes
Superuser shall view users' stats to monitor website usage.,Yes
Superuser shall reply to user questions to provide assistance.,Yes
Admin shall have a dashboard showing usage stats and locations for insights.,Yes
Admin shall communicate directly with facilities to keep them updated about website features.,Yes
Recycling facility representative shall update facility information and accepted materials to avoid miscommunication.,Yes
Recycling facility representative shall access user stats and schedules to adjust operations.,Yes
Recycling facility shall communicate directly with site admin to address any issues or concerns.,Yes
All data shall be encrypted to prevent theft during server breaches or attacks.,No
User's personal information shall be securely stored to prevent identity theft.,No
Admin shall handle all users' activities for efficient management.,No
Company shall have an easy-to-use website for step-by-step uploading or deleting of content.,No
Employee shall receive quick notifications for prompt action.,No
Company accountant shall view all available activity fees online for easy billing.,No
Developer shall use Bootstrap during development for easy website design.,No
Developer shall attend UI/UX lessons for developing a visually appealing website.,No
User shall receive feedback when entering an invalid zip code.,No
Admin shall be able to block specific users based on IP address to prevent spamming.,No
Admin shall have access to a dashboard monitoring all site statuses and user activities.,No
Executive shall have full access to company-related data for performance evaluation.,No
User shall be able to view the updated date and time in the header information box.,Yes
User shall receive a more helpful file-level error message when uploading a file with the wrong extension.,Yes
Tester shall have access to test features in environments other than Staging.,Yes
FABS user shall have submission errors accurately represent FABS errors.,Yes
Agency user shall be able to accurately see who created a submission.,Yes
Agency user shall be able to understand file-level errors better.,Yes
Developer shall provide FABS groups that function under the FREC paradigm.,Yes
Tester shall ensure that FABS properly derives fields through robust testing.,Yes
Broker user shall be able to submit records for individual recipients without receiving a DUNS error.,Yes
User shall receive more information about the number of rows to be published before deciding to publish.,Yes
Developer shall prevent duplicate transactions from being published and address the time gap between validation and publishing decision.,Yes
Broker user shall have updated error codes that accurately reflect logic and provide enough information.,Yes
Agency user shall be able to leave off the last 4 digits of the ZIP without an error.,Yes
Data user shall access two additional fields from the FPDS data pull.,Yes
FABS user shall have additional helpful information in the submission dashboard.,Yes
FABS user shall be able to download the uploaded FABS file.,Yes
Developer shall quickly access Broker application data for investigation.,Yes
Developer shall determine the best way to load historical FPDS data.,Yes
FABS user shall have appropriate language on FABS pages.,Yes
FABS user shall not receive DABS banner messages and vice versa.,Yes
FABS user shall have read-only access to DABS.,Yes
FABS user shall have validations run in a reasonable amount of time.,Yes
FABS user shall see correct status labels on the Submission Dashboard.,Yes
Agency user shall know when the submission periods start and end.,Yes
Agency user shall have a landing page to navigate to either FABS or DABS pages.,Yes
Agency user shall submit data elements surrounded by quotation marks to prevent Excel from stripping leading and trailing zeroes.,Yes
User shall view the header information box showing the updated date and time.,No
User shall receive more helpful file-level error messages for better troubleshooting.,No
Tester shall access test features in environments other than Staging for comprehensive testing.,No
FABS user shall receive submission errors accurately reflecting FABS errors for efficient problem resolution.,No
FABS user shall access frontend URLs accurately reflecting the accessed page for clarity.,No
Agency user shall have all historical Financial Assistance data loaded for FABS go-live for completeness.,No
Developer shall ensure the historical FPDS data loader includes both extracted historical data and FPDS feed data for comprehensive data analysis.,No
Agency user shall accurately see who created a submission for accountability and collaboration purposes.,No
Agency user shall receive File F in the correct format to prevent data formatting issues.,No
Agency user shall have a better understanding of file-level errors to streamline data submission processes.,No
Developer shall provide FABS groups functioning under the FREC paradigm for consistency and efficiency.,No
Tester shall ensure FABS properly derives fields through robust testing for accurate data processing.,No
Broker user shall submit records for individual recipients without receiving a DUNS error for smooth data submission.,No
User shall receive information about the number of rows to be published before deciding whether to publish for informed decision-making.,No
Developer shall prevent duplicate transactions from being published and manage the time gap between validation and publishing decision for data integrity.,No
FABS user shall successfully submit a citywide as a PPoPZIP and pass validations for comprehensive data submission.,No
Broker user shall have updated error codes reflecting logic and providing sufficient information for fixing submissions for efficient troubleshooting.,No
Agency user shall leave off the last 4 digits of the ZIP without encountering an error for seamless data submission.,No
FABS user shall ensure historical data includes all necessary columns for correct database information to prevent data inconsistencies.,No
Data user shall access two additional fields from the FPDS data pull for comprehensive data analysis.,No
FABS user shall have additional helpful info in the submission dashboard for better management and oversight of submissions.,No
FABS user shall download the uploaded FABS file for record-keeping and review purposes.,No
